feature,entropy_after_split,information_gain
odor,0.09231793232824373,0.906778700787864
spore-print-color,0.5195766722640975,0.4795199608520102
gill-color,0.5817115772917881,0.4173850558243196
ring-type,0.682596756378162,0.3164998767379458
stalk-surface-above-ring,0.7083192754348867,0.29077735768122104
stalk-surface-below-ring,0.7233301815011731,0.2757664516149346
stalk-color-above-ring,0.7441338010190387,0.25496283209706905
stalk-color-below-ring,0.7548467750103514,0.2442498581057564
gill-size,0.76022434384107,0.23887228927503779
population,0.7939189841844576,0.20517764893165014
bruises,0.8035332543964147,0.1955633787196931
habitat,0.8359337169431624,0.16316291617294532
stalk-root,0.8655538080603477,0.1335428250557601
gill-spacing,0.9003128263104557,0.09878380680565202
cap-shape,0.9516002790312318,0.04749635408487596
ring-number,0.9588992026212474,0.04019743049486035
cap-color,0.9627714504836629,0.036325182632444886
cap-surface,0.9701770186788968,0.028919614437210917
veil-color,0.9754120099492032,0.02368462316690456
gill-attachment,0.9857258003696017,0.013370832746506078
stalk-shape,0.991992863926147,0.007103769189960696
veil-type,0.9990966331161077,0.0
